null#
# M e s s w e r t t a b e l l e  der Reihen:
#
# 38.CN_BIN=7 / 38.A.L_BIN=7 [52,52] Werte
# unnamed - Apr 29, 2014 12:34:49 PM [0,0] Werte
#
#
Y	Y	Y	
0.0000	0.6406	-5.0000	
1.0000	0.6382	-5.0000	
2.0000	0.6579	-5.0000	
3.0000	0.9794	-5.0000	
4.0000	1.3242	-5.0000	
5.0000	1.4681	-5.0000	
6.0000	1.2859	-5.0000	
7.0000	1.7016	-5.0000	
8.0000	1.4935	-5.0000	
9.0000	1.7859	-5.0000	
10.0000	1.8772	-5.0000	
11.0000	1.9423	-5.0000	
12.0000	1.6318	-5.0000	
13.0000	1.4776	-5.0000	
14.0000	1.6247	-5.0000	
15.0000	1.5435	-5.0000	
16.0000	1.6132	-5.0000	
17.0000	1.7816	-5.0000	
18.0000	1.7180	-5.0000	
19.0000	1.7826	-5.0000	
20.0000	1.6881	-5.0000	
21.0000	1.7358	-5.0000	
22.0000	1.8143	-5.0000	
23.0000	1.3073	-5.0000	
24.0000	1.6333	-5.0000	
25.0000	1.8747	-5.0000	
26.0000	1.6009	-5.0000	
27.0000	1.7370	-5.0000	
28.0000	1.6607	-5.0000	
29.0000	1.7667	-5.0000	
30.0000	1.8284	-5.0000	
31.0000	1.6689	-5.0000	
32.0000	1.5290	-5.0000	
33.0000	1.5970	-5.0000	
34.0000	1.6900	-5.0000	
35.0000	1.6055	-5.0000	
36.0000	1.5997	-5.0000	
37.0000	1.4530	-5.0000	
38.0000	1.3071	-5.0000	
39.0000	1.3703	-5.0000	
40.0000	1.5729	-5.0000	
41.0000	1.5038	-5.0000	
42.0000	1.3381	-5.0000	
43.0000	1.5296	-5.0000	
44.0000	1.6549	-5.0000	
45.0000	1.7506	-5.0000	
46.0000	1.6097	-5.0000	
47.0000	1.5766	-5.0000	
48.0000	1.7209	-5.0000	
49.0000	1.4592	-5.0000	
50.0000	1.4356	-5.0000	
51.0000	1.2784	-5.0000	
