null#
# M e s s w e r t t a b e l l e  der Reihen:
#
# 32.CN_BIN=7 / 32.A.L_BIN=7 [52,52] Werte
# 32.IWL_BIN=7 / 32.B.L_BIN=7 [52,52] Werte
#
#
Y	Y	Y	
0.0000	0.0000	0.2245	
1.0000	0.1742	0.2172	
2.0000	0.1214	0.3720	
3.0000	0.0523	0.2786	
4.0000	0.0530	0.3696	
5.0000	0.1554	0.3416	
6.0000	0.1348	0.3920	
7.0000	0.0000	0.2281	
8.0000	0.1299	0.3632	
9.0000	0.0515	0.2463	
10.0000	0.1286	0.4814	
11.0000	0.1759	0.7321	
12.0000	0.2472	0.6117	
13.0000	0.0000	0.6710	
14.0000	0.0503	0.5941	
15.0000	0.1980	0.4360	
16.0000	0.1302	0.5517	
17.0000	0.2121	0.4654	
18.0000	0.2825	0.5647	
19.0000	0.6652	0.6297	
20.0000	0.1515	0.4363	
21.0000	0.1002	0.5680	
22.0000	0.3403	0.5013	
23.0000	0.4682	0.6038	
24.0000	0.0494	1.0009	
25.0000	0.1980	0.6767	
26.0000	0.0494	0.7930	
27.0000	0.1283	0.7119	
28.0000	0.3894	0.4941	
29.0000	0.1572	0.5965	
30.0000	0.1005	0.6102	
31.0000	0.1572	0.5767	
32.0000	0.2769	0.6542	
33.0000	0.1551	0.9320	
34.0000	0.1968	0.7486	
35.0000	0.0955	0.6890	
36.0000	0.2945	0.6093	
37.0000	0.0689	0.5097	
38.0000	0.0000	0.0000	
39.0000	0.4009	0.6025	
40.0000	0.3312	0.6587	
41.0000	0.2820	0.5206	
42.0000	0.2705	0.6307	
43.0000	0.3947	0.6592	
44.0000	0.2124	0.4973	
45.0000	0.2338	0.6421	
46.0000	0.0491	0.5550	
47.0000	0.5271	0.6170	
48.0000	0.1473	0.5284	
49.0000	0.0981	0.4032	
50.0000	0.2805	0.6693	
51.0000	0.1783	0.4872	
