null#
# M e s s w e r t t a b e l l e  der Reihen:
#
# en___Apache_Mahout_BIN=24_log10 [365,365] Werte
#
#
Y	Y	
0.0000	1.3424	
1.0000	1.2041	
2.0000	1.5185	
3.0000	1.7076	
4.0000	1.5911	
5.0000	1.7482	
6.0000	1.6721	
7.0000	1.4771	
8.0000	1.5185	
9.0000	1.7243	
10.0000	1.7076	
11.0000	1.7559	
12.0000	1.8573	
13.0000	1.7853	
14.0000	1.3802	
15.0000	1.5798	
16.0000	1.7482	
17.0000	1.7782	
18.0000	1.8195	
19.0000	1.7559	
20.0000	1.8261	
21.0000	1.5563	
22.0000	1.6128	
23.0000	1.9345	
24.0000	1.8751	
25.0000	1.7924	
26.0000	1.7324	
27.0000	1.6721	
28.0000	1.5563	
29.0000	1.5563	
30.0000	1.8062	
31.0000	1.8129	
32.0000	1.9031	
33.0000	1.7324	
34.0000	1.7853	
35.0000	1.4624	
36.0000	1.6128	
37.0000	1.9294	
38.0000	1.7634	
39.0000	1.8261	
40.0000	1.8692	
41.0000	1.8261	
42.0000	1.6902	
43.0000	1.6335	
44.0000	1.8751	
45.0000	1.8573	
46.0000	1.8062	
47.0000	1.9445	
48.0000	1.7924	
49.0000	1.8195	
50.0000	1.6628	
51.0000	1.8808	
52.0000	1.8808	
53.0000	1.9085	
54.0000	1.8451	
55.0000	1.7634	
56.0000	1.5911	
57.0000	1.6902	
58.0000	1.9445	
59.0000	1.8129	
60.0000	1.8261	
61.0000	1.9294	
62.0000	1.8261	
63.0000	1.7243	
64.0000	1.5682	
65.0000	1.8325	
66.0000	1.9590	
67.0000	2.0128	
68.0000	1.8573	
69.0000	1.8976	
70.0000	1.6335	
71.0000	1.7243	
72.0000	1.8573	
73.0000	1.7993	
74.0000	1.8195	
75.0000	1.9294	
76.0000	1.7482	
77.0000	1.6628	
78.0000	1.6128	
79.0000	1.8751	
80.0000	1.8976	
81.0000	1.8808	
82.0000	1.9685	
83.0000	1.8195	
84.0000	1.6902	
85.0000	1.8062	
86.0000	1.9294	
87.0000	1.9395	
88.0000	1.8865	
89.0000	1.9956	
90.0000	1.8129	
91.0000	1.5315	
92.0000	1.5185	
93.0000	1.8325	
94.0000	1.9085	
95.0000	1.8388	
96.0000	1.8062	
97.0000	1.7634	
98.0000	1.6532	
99.0000	1.7076	
100.0000	1.9445	
101.0000	1.8129	
102.0000	1.7853	
103.0000	1.7709	
104.0000	1.9031	
105.0000	1.7160	
106.0000	1.6532	
107.0000	1.7709	
108.0000	1.9590	
109.0000	1.8921	
110.0000	1.9191	
111.0000	1.7709	
112.0000	1.5911	
113.0000	1.5315	
114.0000	1.8195	
115.0000	1.8388	
116.0000	1.9085	
117.0000	1.9191	
118.0000	1.9138	
119.0000	1.5798	
120.0000	1.6128	
121.0000	1.8865	
122.0000	1.8692	
123.0000	1.9085	
124.0000	1.8325	
125.0000	1.9294	
126.0000	1.6335	
127.0000	1.7160	
128.0000	1.8921	
129.0000	1.8573	
130.0000	1.9823	
131.0000	1.8976	
132.0000	1.8513	
133.0000	1.4472	
134.0000	1.6812	
135.0000	1.8633	
136.0000	1.8633	
137.0000	1.9590	
138.0000	1.9191	
139.0000	1.8129	
140.0000	1.7634	
141.0000	1.6021	
142.0000	1.8325	
143.0000	1.8195	
144.0000	1.7924	
145.0000	1.8976	
146.0000	1.8129	
147.0000	1.6128	
148.0000	1.5051	
149.0000	1.7634	
150.0000	1.8751	
151.0000	0.0000	
152.0000	0.0000	
153.0000	0.0000	
154.0000	0.0000	
155.0000	0.0000	
156.0000	0.0000	
157.0000	0.0000	
158.0000	0.0000	
159.0000	0.0000	
160.0000	0.0000	
161.0000	0.0000	
162.0000	0.0000	
163.0000	0.0000	
164.0000	0.0000	
165.0000	0.0000	
166.0000	0.0000	
167.0000	0.0000	
168.0000	0.0000	
169.0000	0.0000	
170.0000	0.0000	
171.0000	0.0000	
172.0000	0.0000	
173.0000	0.0000	
174.0000	0.0000	
175.0000	0.0000	
176.0000	0.0000	
177.0000	0.0000	
178.0000	0.0000	
179.0000	0.0000	
180.0000	0.0000	
181.0000	1.7076	
182.0000	1.5315	
183.0000	1.6128	
184.0000	1.7634	
185.0000	1.7404	
186.0000	1.9395	
187.0000	1.7482	
188.0000	1.8261	
189.0000	1.5315	
190.0000	1.5185	
191.0000	1.8751	
192.0000	1.8261	
193.0000	1.8692	
194.0000	1.7076	
195.0000	1.6812	
196.0000	1.6128	
197.0000	1.5185	
198.0000	1.9294	
199.0000	1.8513	
200.0000	1.9031	
201.0000	1.9138	
202.0000	1.7482	
203.0000	1.4771	
204.0000	1.4472	
205.0000	1.7993	
206.0000	1.9243	
207.0000	1.8921	
208.0000	1.9191	
209.0000	1.8261	
210.0000	1.5051	
211.0000	1.4472	
212.0000	2.2695	
213.0000	1.9823	
214.0000	1.8062	
215.0000	1.8195	
216.0000	1.8451	
217.0000	1.6128	
218.0000	1.6721	
219.0000	1.8921	
220.0000	1.9085	
221.0000	1.9191	
222.0000	1.9445	
223.0000	1.8325	
224.0000	1.4914	
225.0000	1.4914	
226.0000	1.7634	
227.0000	2.0253	
228.0000	1.8388	
229.0000	1.9685	
230.0000	1.8751	
231.0000	1.6335	
232.0000	1.5441	
233.0000	1.8261	
234.0000	1.8865	
235.0000	1.9243	
236.0000	1.7853	
237.0000	1.7634	
238.0000	1.6902	
239.0000	1.7243	
240.0000	1.7782	
241.0000	1.9294	
242.0000	1.8692	
243.0000	1.7924	
244.0000	1.7559	
245.0000	1.5563	
246.0000	1.5185	
247.0000	1.7559	
248.0000	1.9638	
249.0000	1.8062	
250.0000	1.9138	
251.0000	1.8325	
252.0000	1.7709	
253.0000	1.5185	
254.0000	1.7559	
255.0000	1.9243	
256.0000	1.8751	
257.0000	1.8513	
258.0000	1.8633	
259.0000	1.5441	
260.0000	1.6335	
261.0000	1.8865	
262.0000	1.8261	
263.0000	1.9445	
264.0000	1.8976	
265.0000	1.8195	
266.0000	1.7324	
267.0000	1.6812	
268.0000	1.8388	
269.0000	1.7924	
270.0000	1.9294	
271.0000	1.7559	
272.0000	1.9031	
273.0000	1.6721	
274.0000	1.8062	
275.0000	1.9638	
276.0000	2.0645	
277.0000	1.9031	
278.0000	1.9590	
279.0000	1.8573	
280.0000	1.6902	
281.0000	1.6721	
282.0000	1.8451	
283.0000	2.0374	
284.0000	2.0000	
285.0000	2.0086	
286.0000	2.0374	
287.0000	1.6990	
288.0000	1.7404	
289.0000	2.0607	
290.0000	2.0086	
291.0000	1.9031	
292.0000	1.9395	
293.0000	1.9138	
294.0000	1.6812	
295.0000	1.7160	
296.0000	1.9294	
297.0000	2.0043	
298.0000	1.9542	
299.0000	2.1173	
300.0000	2.0792	
301.0000	1.8865	
302.0000	1.6902	
303.0000	2.0453	
304.0000	2.1367	
305.0000	2.2672	
306.0000	2.1430	
307.0000	2.0253	
308.0000	1.8451	
309.0000	1.8129	
310.0000	2.0864	
311.0000	2.1367	
312.0000	2.1553	
313.0000	2.2330	
314.0000	2.1430	
315.0000	1.8261	
316.0000	1.9085	
317.0000	2.3201	
318.0000	2.2355	
319.0000	2.0934	
320.0000	2.0212	
321.0000	2.1106	
322.0000	1.9191	
323.0000	1.7559	
324.0000	2.2945	
325.0000	2.1106	
326.0000	2.1139	
327.0000	2.0086	
328.0000	1.8692	
329.0000	1.7559	
330.0000	1.8325	
331.0000	2.0253	
332.0000	2.0828	
333.0000	1.9823	
334.0000	2.0531	
335.0000	2.0253	
336.0000	1.8195	
337.0000	1.7559	
338.0000	2.0492	
339.0000	1.9956	
340.0000	2.0043	
341.0000	1.9685	
342.0000	1.9956	
343.0000	1.8062	
344.0000	1.9542	
345.0000	2.0170	
346.0000	2.0492	
347.0000	2.0531	
348.0000	2.0569	
349.0000	1.9956	
350.0000	1.7924	
351.0000	1.8195	
352.0000	2.0899	
353.0000	2.0531	
354.0000	2.0374	
355.0000	2.0682	
356.0000	0.4771	
357.0000	0.0000	
358.0000	0.0000	
359.0000	1.4914	
360.0000	2.0645	
361.0000	1.9243	
362.0000	1.9590	
363.0000	1.8573	
364.0000	1.8062	
