null#
# M e s s w e r t t a b e l l e  der Reihen:
#
# 39.CN_BIN=7 / 39.A.L_BIN=7 [52,52] Werte
# 39.IWL_BIN=7 / 39.B.L_BIN=7 [52,52] Werte
#
#
Y	Y	Y	
0.0000	4.2382	0.0000	
1.0000	5.4979	0.0000	
2.0000	5.0482	0.0000	
3.0000	5.2934	0.0000	
4.0000	5.1916	0.0000	
5.0000	5.1607	0.0000	
6.0000	5.2741	0.0000	
7.0000	5.6692	0.0000	
8.0000	5.5474	0.0000	
9.0000	5.3622	0.0000	
10.0000	5.7703	0.0000	
11.0000	5.9195	0.0000	
12.0000	5.3227	0.0000	
13.0000	5.6965	0.0000	
14.0000	5.5490	0.0000	
15.0000	5.5240	0.0000	
16.0000	5.5987	0.0000	
17.0000	5.3361	0.0000	
18.0000	5.4580	0.0000	
19.0000	5.0756	0.0000	
20.0000	5.6795	0.0000	
21.0000	6.3136	0.0000	
22.0000	6.1956	0.0000	
23.0000	6.4392	0.0000	
24.0000	6.2892	0.0000	
25.0000	6.0143	0.0000	
26.0000	6.4602	0.0000	
27.0000	6.1925	0.0000	
28.0000	6.3390	0.0000	
29.0000	6.2694	0.0000	
30.0000	6.2312	0.0000	
31.0000	6.0575	0.0000	
32.0000	6.3682	0.0000	
33.0000	6.3413	0.0000	
34.0000	6.2204	0.0000	
35.0000	6.3174	0.0000	
36.0000	6.2993	0.0000	
37.0000	6.1317	0.0000	
38.0000	6.2220	0.0000	
39.0000	6.3856	0.0000	
40.0000	6.3431	0.0000	
41.0000	6.1493	0.0000	
42.0000	6.2128	0.0000	
43.0000	6.5915	0.0000	
44.0000	6.5679	0.0000	
45.0000	6.3863	0.0000	
46.0000	6.2080	0.0000	
47.0000	5.9905	0.0000	
48.0000	6.1735	0.0000	
49.0000	6.2085	0.0000	
50.0000	6.3591	0.0000	
51.0000	6.2507	0.0000	
