null#
# M e s s w e r t t a b e l l e  der Reihen:
#
# en___Apache_Solr_BIN=24_log10 [365,365] Werte
#
#
Y	Y	
0.0000	1.3802	
1.0000	1.4771	
2.0000	1.5798	
3.0000	2.0828	
4.0000	1.8692	
5.0000	1.8921	
6.0000	1.9445	
7.0000	2.0086	
8.0000	1.6628	
9.0000	1.4624	
10.0000	1.8692	
11.0000	1.9777	
12.0000	1.9494	
13.0000	1.8633	
14.0000	1.9085	
15.0000	1.6902	
16.0000	1.5441	
17.0000	1.9494	
18.0000	1.9445	
19.0000	1.9956	
20.0000	2.1038	
21.0000	2.0334	
22.0000	0.7782	
23.0000	0.0000	
24.0000	1.9494	
25.0000	1.9345	
26.0000	1.9731	
27.0000	1.9445	
28.0000	1.8865	
29.0000	1.6812	
30.0000	1.6532	
31.0000	2.0170	
32.0000	1.9823	
33.0000	2.0755	
34.0000	1.9868	
35.0000	1.9542	
36.0000	1.6232	
37.0000	1.7160	
38.0000	1.8388	
39.0000	2.0899	
40.0000	1.9868	
41.0000	1.9191	
42.0000	2.0531	
43.0000	1.6128	
44.0000	1.6128	
45.0000	1.8865	
46.0000	2.0531	
47.0000	1.9345	
48.0000	2.0253	
49.0000	1.8513	
50.0000	1.5563	
51.0000	1.6128	
52.0000	1.9445	
53.0000	2.0374	
54.0000	1.8573	
55.0000	1.9395	
56.0000	1.9138	
57.0000	1.7853	
58.0000	1.6990	
59.0000	2.0170	
60.0000	2.0000	
61.0000	1.9494	
62.0000	2.0294	
63.0000	1.9191	
64.0000	1.6721	
65.0000	1.6232	
66.0000	1.9445	
67.0000	1.9243	
68.0000	1.9868	
69.0000	1.9868	
70.0000	1.9912	
71.0000	1.7709	
72.0000	1.5682	
73.0000	2.0492	
74.0000	1.9445	
75.0000	2.0828	
76.0000	2.0086	
77.0000	2.0043	
78.0000	2.0645	
79.0000	1.7853	
80.0000	1.8692	
81.0000	2.0492	
82.0000	2.0128	
83.0000	1.9912	
84.0000	1.9345	
85.0000	1.7076	
86.0000	1.6628	
87.0000	1.9638	
88.0000	2.0453	
89.0000	1.9395	
90.0000	1.8976	
91.0000	1.7709	
92.0000	1.6021	
93.0000	1.4914	
94.0000	1.8692	
95.0000	1.9345	
96.0000	2.0792	
97.0000	1.9823	
98.0000	1.9345	
99.0000	1.7324	
100.0000	1.6628	
101.0000	1.9912	
102.0000	1.9445	
103.0000	2.0453	
104.0000	1.9590	
105.0000	1.9494	
106.0000	1.8062	
107.0000	1.7993	
108.0000	2.0253	
109.0000	2.1106	
110.0000	2.0453	
111.0000	2.0755	
112.0000	2.1430	
113.0000	1.8062	
114.0000	1.7482	
115.0000	1.9823	
116.0000	1.8976	
117.0000	2.0492	
118.0000	2.0755	
119.0000	1.9868	
120.0000	1.7559	
121.0000	1.6021	
122.0000	1.9912	
123.0000	1.9191	
124.0000	2.0170	
125.0000	1.9031	
126.0000	2.0253	
127.0000	1.6021	
128.0000	1.6232	
129.0000	2.0043	
130.0000	2.0294	
131.0000	2.0414	
132.0000	1.8573	
133.0000	2.0645	
134.0000	1.9031	
135.0000	1.6335	
136.0000	2.0569	
137.0000	2.0128	
138.0000	1.9868	
139.0000	2.0569	
140.0000	1.9956	
141.0000	1.7993	
142.0000	1.6628	
143.0000	1.9542	
144.0000	2.0569	
145.0000	1.9542	
146.0000	1.9638	
147.0000	1.9494	
148.0000	1.8195	
149.0000	1.6021	
150.0000	1.9777	
151.0000	1.9494	
152.0000	1.9956	
153.0000	2.0645	
154.0000	1.9823	
155.0000	1.7076	
156.0000	1.4771	
157.0000	2.0899	
158.0000	2.0170	
159.0000	2.0043	
160.0000	1.9590	
161.0000	1.6721	
162.0000	1.0792	
163.0000	0.8451	
164.0000	1.1139	
165.0000	1.7076	
166.0000	1.7993	
167.0000	1.9777	
168.0000	1.9345	
169.0000	1.7243	
170.0000	1.4914	
171.0000	1.9956	
172.0000	1.9395	
173.0000	2.1072	
174.0000	1.7993	
175.0000	1.7709	
176.0000	1.6232	
177.0000	1.2553	
178.0000	1.6990	
179.0000	1.9823	
180.0000	1.9823	
181.0000	1.9445	
182.0000	2.0000	
183.0000	1.7853	
184.0000	1.4771	
185.0000	1.4624	
186.0000	1.9243	
187.0000	1.5185	
188.0000	0.0000	
189.0000	0.0000	
190.0000	1.2788	
191.0000	1.3424	
192.0000	1.8388	
193.0000	2.0170	
194.0000	1.9542	
195.0000	1.9243	
196.0000	1.9085	
197.0000	1.5682	
198.0000	1.4771	
199.0000	1.9395	
200.0000	1.7993	
201.0000	1.9243	
202.0000	2.0828	
203.0000	2.0414	
204.0000	1.7709	
205.0000	1.7243	
206.0000	2.0755	
207.0000	2.0374	
208.0000	2.0792	
209.0000	2.1732	
210.0000	2.0899	
211.0000	1.7324	
212.0000	1.5911	
213.0000	2.0864	
214.0000	2.0569	
215.0000	2.1673	
216.0000	2.1271	
217.0000	2.0569	
218.0000	1.6335	
219.0000	1.6435	
220.0000	2.0569	
221.0000	2.2227	
222.0000	2.1271	
223.0000	2.1584	
224.0000	2.1004	
225.0000	1.5911	
226.0000	1.8325	
227.0000	2.0569	
228.0000	2.1139	
229.0000	2.1644	
230.0000	2.1430	
231.0000	2.0253	
232.0000	1.6335	
233.0000	1.6721	
234.0000	2.1761	
235.0000	2.1732	
236.0000	2.0864	
237.0000	2.1732	
238.0000	2.1673	
239.0000	1.6902	
240.0000	1.7243	
241.0000	2.1523	
242.0000	2.2201	
243.0000	2.2122	
244.0000	2.2355	
245.0000	2.0934	
246.0000	1.7709	
247.0000	1.6435	
248.0000	2.0086	
249.0000	2.2227	
250.0000	2.1523	
251.0000	2.1173	
252.0000	2.0682	
253.0000	1.7924	
254.0000	1.7993	
