null#
# M e s s w e r t t a b e l l e  der Reihen:
#
# 35.CN_BIN=7 / 35.A.L_BIN=7 [52,52] Werte
# 35.IWL_BIN=7 / 35.B.L_BIN=7 [52,52] Werte
#
#
Y	Y	Y	
0.0000	1.5035	0.2314	
1.0000	1.4709	0.1389	
2.0000	1.4939	0.2165	
3.0000	1.4597	0.2596	
4.0000	1.4777	0.1951	
5.0000	1.5238	0.2311	
6.0000	1.5209	0.2311	
7.0000	1.5289	0.1950	
8.0000	1.4818	0.1958	
9.0000	1.5332	0.2464	
10.0000	1.5552	0.3079	
11.0000	1.5659	0.3373	
12.0000	1.5594	0.1777	
13.0000	1.5550	0.1613	
14.0000	1.5677	0.3645	
15.0000	1.5486	0.3012	
16.0000	1.5668	0.2485	
17.0000	1.5257	0.2131	
18.0000	1.5395	0.1988	
19.0000	1.5488	0.2750	
20.0000	1.6028	0.3171	
21.0000	1.4681	0.1769	
22.0000	0.0000	0.0000	
23.0000	0.0000	0.0000	
24.0000	0.0000	0.0000	
25.0000	1.6599	0.3683	
26.0000	1.5511	0.2384	
27.0000	1.5843	0.2464	
28.0000	1.6221	0.2746	
29.0000	1.5383	0.2172	
30.0000	1.5422	0.2833	
31.0000	1.6308	0.2645	
32.0000	1.6441	0.2872	
33.0000	1.6591	0.2164	
34.0000	1.6556	0.3048	
35.0000	1.6604	0.3225	
36.0000	1.6598	0.3122	
37.0000	1.7006	0.3098	
38.0000	1.6768	0.3572	
39.0000	1.6960	0.3413	
40.0000	1.7457	0.3138	
41.0000	1.7133	0.4472	
42.0000	1.7405	0.2600	
43.0000	1.7285	0.3957	
44.0000	1.7175	0.3248	
45.0000	1.7264	0.2990	
46.0000	1.6873	0.2740	
47.0000	1.7188	0.3071	
48.0000	1.7114	0.3871	
49.0000	1.7058	0.3898	
50.0000	1.6313	0.3684	
51.0000	1.6541	0.3334	
