null#
# M e s s w e r t t a b e l l e  der Reihen:
#
# en___Apache_ZooKeeper_BIN=24_log10 [365,365] Werte
#
#
Y	Y	
0.0000	0.6990	
1.0000	1.0414	
2.0000	1.3010	
3.0000	1.3010	
4.0000	1.4314	
5.0000	1.3010	
6.0000	1.4150	
7.0000	0.4771	
8.0000	1.1139	
9.0000	1.3802	
10.0000	1.3979	
11.0000	1.4314	
12.0000	1.3979	
13.0000	1.3979	
14.0000	1.0792	
15.0000	1.1139	
16.0000	1.3424	
17.0000	1.3424	
18.0000	1.5185	
19.0000	1.3010	
20.0000	1.4314	
21.0000	1.1761	
22.0000	1.0792	
23.0000	1.5563	
24.0000	1.4624	
25.0000	1.4314	
26.0000	1.3979	
27.0000	1.2553	
28.0000	1.0792	
29.0000	1.2041	
30.0000	1.2553	
31.0000	1.5185	
32.0000	1.4314	
33.0000	1.3979	
34.0000	1.4624	
35.0000	1.2553	
36.0000	0.8451	
37.0000	1.3424	
38.0000	1.3617	
39.0000	1.4314	
40.0000	1.4624	
41.0000	1.5563	
42.0000	1.1461	
43.0000	1.0792	
44.0000	1.3979	
45.0000	1.3010	
46.0000	1.2553	
47.0000	1.3617	
48.0000	1.4314	
49.0000	1.2788	
50.0000	1.2788	
51.0000	1.2553	
52.0000	1.3617	
53.0000	1.3617	
54.0000	1.5315	
55.0000	1.2553	
56.0000	1.1139	
57.0000	1.0792	
58.0000	1.4472	
59.0000	1.3010	
60.0000	1.3617	
61.0000	1.2304	
62.0000	1.3617	
63.0000	0.8451	
64.0000	0.8451	
65.0000	1.3424	
66.0000	1.4624	
67.0000	1.2788	
68.0000	1.4472	
69.0000	1.2788	
70.0000	1.0000	
71.0000	0.6021	
72.0000	1.4472	
73.0000	1.4624	
74.0000	1.4624	
75.0000	1.2788	
76.0000	1.4150	
77.0000	0.9031	
78.0000	0.7782	
79.0000	1.4314	
80.0000	1.3979	
81.0000	1.4771	
82.0000	1.3010	
83.0000	1.3802	
84.0000	1.3424	
85.0000	1.0792	
86.0000	1.4150	
87.0000	1.3010	
88.0000	1.4771	
89.0000	1.4314	
90.0000	1.3222	
91.0000	1.0792	
92.0000	0.9542	
93.0000	1.2788	
94.0000	1.3010	
95.0000	1.4472	
96.0000	1.4150	
97.0000	1.5563	
98.0000	1.0414	
99.0000	1.2788	
100.0000	1.5441	
101.0000	1.4624	
102.0000	1.4314	
103.0000	1.4472	
104.0000	1.2788	
105.0000	1.3424	
106.0000	1.1461	
107.0000	1.2041	
108.0000	1.3617	
109.0000	1.3617	
110.0000	1.2304	
111.0000	1.3979	
112.0000	1.2304	
113.0000	0.9031	
114.0000	1.2553	
115.0000	1.3979	
116.0000	1.3617	
117.0000	1.5185	
118.0000	1.4314	
119.0000	1.2041	
120.0000	1.0414	
121.0000	1.2788	
122.0000	1.4314	
123.0000	1.5441	
124.0000	1.3222	
125.0000	1.4914	
126.0000	1.1461	
127.0000	1.0000	
128.0000	1.3802	
129.0000	1.3802	
130.0000	1.3979	
131.0000	1.5315	
132.0000	1.4150	
133.0000	1.2304	
134.0000	1.2553	
135.0000	1.6902	
136.0000	1.5563	
137.0000	1.5911	
138.0000	1.5185	
139.0000	1.3979	
140.0000	1.1461	
141.0000	1.0792	
142.0000	1.4914	
143.0000	1.5051	
144.0000	1.4624	
145.0000	1.4314	
146.0000	1.5051	
147.0000	1.3010	
148.0000	1.1461	
149.0000	1.1461	
150.0000	1.4771	
151.0000	0.0000	
152.0000	0.0000	
153.0000	0.0000	
154.0000	0.0000	
155.0000	0.0000	
156.0000	0.0000	
157.0000	0.0000	
158.0000	0.0000	
159.0000	0.0000	
160.0000	0.0000	
161.0000	0.0000	
162.0000	0.0000	
163.0000	0.0000	
164.0000	0.0000	
165.0000	0.0000	
166.0000	0.0000	
167.0000	0.0000	
168.0000	0.0000	
169.0000	0.0000	
170.0000	0.0000	
171.0000	0.0000	
172.0000	0.0000	
173.0000	0.0000	
174.0000	0.0000	
175.0000	0.0000	
176.0000	0.0000	
177.0000	0.0000	
178.0000	0.0000	
179.0000	0.0000	
180.0000	0.0000	
181.0000	1.3979	
182.0000	0.8451	
183.0000	1.2788	
184.0000	1.2788	
185.0000	1.3979	
186.0000	1.4314	
187.0000	1.5798	
188.0000	1.6021	
189.0000	1.2041	
190.0000	1.0414	
191.0000	1.6232	
192.0000	1.4150	
193.0000	1.4771	
194.0000	1.5051	
195.0000	1.4771	
196.0000	1.1461	
197.0000	1.0792	
198.0000	1.5185	
199.0000	1.5798	
200.0000	1.5682	
201.0000	1.2553	
202.0000	1.5911	
203.0000	1.3010	
204.0000	1.2553	
205.0000	1.3617	
206.0000	1.4914	
207.0000	1.5563	
208.0000	1.4914	
209.0000	1.4914	
210.0000	0.9031	
211.0000	0.9031	
212.0000	1.4150	
213.0000	1.5682	
214.0000	1.4472	
215.0000	1.6628	
216.0000	1.4624	
217.0000	1.2788	
218.0000	1.2553	
219.0000	1.5682	
220.0000	1.4314	
221.0000	1.4314	
222.0000	1.6128	
223.0000	1.5185	
224.0000	1.2041	
225.0000	1.2041	
226.0000	1.4914	
227.0000	1.7404	
228.0000	1.4771	
229.0000	1.5911	
230.0000	1.5798	
231.0000	1.1461	
232.0000	1.1461	
233.0000	1.2553	
234.0000	1.4314	
235.0000	1.5682	
236.0000	1.6628	
237.0000	1.4314	
238.0000	1.0000	
239.0000	0.9031	
240.0000	1.4771	
241.0000	1.3979	
242.0000	1.5682	
243.0000	1.4472	
244.0000	1.3979	
245.0000	1.0000	
246.0000	1.3802	
247.0000	1.6021	
248.0000	1.4314	
249.0000	1.6021	
250.0000	1.4624	
251.0000	1.5682	
252.0000	1.0414	
253.0000	1.1761	
254.0000	1.5315	
255.0000	1.4150	
256.0000	1.3979	
257.0000	1.4150	
258.0000	1.5682	
259.0000	1.3979	
260.0000	1.2041	
261.0000	1.5441	
262.0000	1.7482	
263.0000	1.6435	
264.0000	1.6335	
265.0000	1.6021	
266.0000	1.2304	
267.0000	1.3222	
268.0000	1.4150	
269.0000	1.5911	
270.0000	1.5911	
271.0000	1.5682	
272.0000	1.6128	
273.0000	1.4771	
274.0000	1.3617	
275.0000	1.7853	
276.0000	1.5682	
277.0000	1.5563	
278.0000	1.3979	
279.0000	1.6721	
280.0000	1.3617	
281.0000	1.4771	
282.0000	1.4914	
283.0000	1.5798	
284.0000	1.7853	
285.0000	1.7243	
286.0000	1.6812	
287.0000	1.2553	
288.0000	1.4914	
289.0000	1.7404	
290.0000	1.6232	
291.0000	1.7709	
292.0000	1.7243	
293.0000	1.6335	
294.0000	1.1461	
295.0000	1.3979	
296.0000	1.6435	
297.0000	1.8865	
298.0000	1.9590	
299.0000	1.6721	
300.0000	1.5798	
301.0000	1.3802	
302.0000	1.4472	
303.0000	1.7324	
304.0000	1.7924	
305.0000	1.8261	
306.0000	1.7853	
307.0000	1.6532	
308.0000	1.5185	
309.0000	1.6128	
310.0000	1.6902	
311.0000	1.8261	
312.0000	1.9494	
313.0000	1.9085	
314.0000	1.6721	
315.0000	1.5441	
316.0000	1.7634	
317.0000	1.9445	
