null#
# M e s s w e r t t a b e l l e  der Reihen:
#
# 35.CN_BIN=7 / 35.A.L_BIN=7 [52,52] Werte
# 35.IWL_BIN=7 / 35.B.L_BIN=7 [52,52] Werte
#
#
Y	Y	Y	
0.0000	1.3001	0.1571	
1.0000	1.2903	0.1239	
2.0000	1.3297	0.1714	
3.0000	1.3693	0.2606	
4.0000	1.3505	0.2795	
5.0000	1.3109	0.2379	
6.0000	1.3621	0.2520	
7.0000	1.3175	0.2444	
8.0000	1.3885	0.1813	
9.0000	1.3617	0.2697	
10.0000	1.3261	0.2809	
11.0000	1.4063	0.2296	
12.0000	1.2973	0.1941	
13.0000	1.2175	0.1759	
14.0000	1.3009	0.2742	
15.0000	1.3731	0.2358	
16.0000	1.3623	0.1399	
17.0000	1.3239	0.1247	
18.0000	1.3394	0.1596	
19.0000	1.3992	0.0706	
20.0000	1.4132	0.0991	
21.0000	1.4827	0.1937	
22.0000	1.4773	0.1103	
23.0000	1.4079	0.1392	
24.0000	1.4426	0.1380	
25.0000	1.4307	0.1007	
26.0000	1.4769	0.0874	
27.0000	1.4239	0.1094	
28.0000	1.4421	0.0610	
29.0000	1.4761	0.1493	
30.0000	1.4815	0.0747	
31.0000	1.4818	0.1990	
32.0000	1.5072	0.1119	
33.0000	1.4946	0.1416	
34.0000	1.5249	0.2400	
35.0000	1.4876	0.1246	
36.0000	1.5118	0.1622	
37.0000	1.4853	0.2229	
38.0000	1.5173	0.2466	
39.0000	1.4838	0.1032	
40.0000	1.4846	0.1884	
41.0000	1.4878	0.2567	
42.0000	1.4972	0.1629	
43.0000	1.5092	0.1183	
44.0000	1.4919	0.1687	
45.0000	1.5042	0.2516	
46.0000	1.4738	0.2128	
47.0000	1.4903	0.2227	
48.0000	1.5117	0.2404	
49.0000	1.5175	0.1336	
50.0000	1.5125	0.1549	
51.0000	1.4308	0.2041	
