null#
# M e s s w e r t t a b e l l e  der Reihen:
#
# 32.CN_BIN=7 / 32.A.L_BIN=7 [52,52] Werte
# 32.IWL_BIN=7 / 32.B.L_BIN=7 [52,52] Werte
#
#
Y	Y	Y	
0.0000	0.9737	0.5088	
1.0000	0.9823	0.5258	
2.0000	0.8128	0.5075	
3.0000	0.9609	0.4897	
4.0000	0.8521	0.5072	
5.0000	0.8004	0.5197	
6.0000	0.9501	0.4688	
7.0000	0.8212	0.5195	
8.0000	0.8942	0.4945	
9.0000	1.0024	0.5072	
10.0000	0.8471	0.5272	
11.0000	2.0725	0.5107	
12.0000	3.4285	0.5668	
13.0000	3.2503	0.6173	
14.0000	3.3127	0.6040	
15.0000	3.3042	0.5782	
16.0000	3.3447	0.6216	
17.0000	3.2811	0.5495	
18.0000	3.3197	0.5936	
19.0000	3.3082	0.6309	
20.0000	3.3441	0.6735	
21.0000	3.2584	0.6211	
22.0000	0.0000	0.0000	
23.0000	0.0000	0.0000	
24.0000	0.0000	0.0000	
25.0000	3.4632	0.7228	
26.0000	3.4087	0.5951	
27.0000	3.3809	0.7375	
28.0000	3.5985	0.6258	
29.0000	3.3147	0.6101	
30.0000	3.3219	0.6868	
31.0000	3.3641	0.6160	
32.0000	3.3356	0.5793	
33.0000	3.2740	0.5458	
34.0000	3.2990	0.5940	
35.0000	3.3393	0.6020	
36.0000	3.3993	0.5536	
37.0000	3.4042	0.6683	
38.0000	3.4119	0.6492	
39.0000	3.4105	0.8126	
40.0000	3.4731	0.8806	
41.0000	3.5044	0.8714	
42.0000	3.4168	0.8727	
43.0000	3.4355	0.8720	
44.0000	3.6096	0.9664	
45.0000	3.5053	0.8994	
46.0000	3.4389	1.0163	
47.0000	3.4022	1.0582	
48.0000	3.4236	1.0115	
49.0000	3.4745	0.9854	
50.0000	3.6601	0.9506	
51.0000	3.6179	1.1143	
