null#
# M e s s w e r t t a b e l l e  der Reihen:
#
# en___Apache_Solr_BIN=24_log10 [365,365] Werte
#
#
Y	Y	
0.0000	0.9542	
1.0000	0.8451	
2.0000	0.6990	
3.0000	1.0000	
4.0000	0.8451	
5.0000	1.0000	
6.0000	1.1761	
7.0000	0.8451	
8.0000	0.8451	
9.0000	0.6021	
10.0000	1.1461	
11.0000	0.9031	
12.0000	1.3222	
13.0000	1.1139	
14.0000	1.0792	
15.0000	1.0000	
16.0000	0.6990	
17.0000	0.3010	
18.0000	1.3222	
19.0000	1.0414	
20.0000	0.9542	
21.0000	0.9031	
22.0000	0.9542	
23.0000	0.4771	
24.0000	1.2304	
25.0000	1.0000	
26.0000	1.0000	
27.0000	1.1761	
28.0000	0.6990	
29.0000	1.0000	
30.0000	0.9031	
31.0000	1.0414	
32.0000	1.0414	
33.0000	1.2304	
34.0000	0.9031	
35.0000	0.9031	
36.0000	0.8451	
37.0000	0.6990	
38.0000	1.0000	
39.0000	1.0792	
40.0000	1.2041	
41.0000	1.0414	
42.0000	1.1139	
43.0000	1.1461	
44.0000	1.0414	
45.0000	0.9031	
46.0000	1.0414	
47.0000	1.0000	
48.0000	0.7782	
49.0000	1.0000	
50.0000	0.6990	
51.0000	0.6021	
52.0000	0.9542	
53.0000	0.9542	
54.0000	1.1139	
55.0000	1.0414	
56.0000	1.1461	
57.0000	1.3802	
58.0000	0.9031	
59.0000	0.6021	
60.0000	0.8451	
61.0000	1.0792	
62.0000	1.1461	
63.0000	1.3424	
64.0000	0.8451	
65.0000	0.8451	
66.0000	1.2304	
67.0000	1.1139	
68.0000	0.9031	
69.0000	1.0792	
70.0000	0.9031	
71.0000	1.1461	
72.0000	0.9031	
73.0000	1.0792	
74.0000	1.2788	
75.0000	1.2041	
76.0000	1.4150	
77.0000	1.3424	
78.0000	1.1461	
79.0000	1.0792	
80.0000	1.0414	
81.0000	1.0414	
82.0000	1.2041	
83.0000	1.3979	
84.0000	1.1461	
85.0000	1.0414	
86.0000	0.6990	
87.0000	0.4771	
88.0000	1.0792	
89.0000	1.1461	
90.0000	0.7782	
91.0000	1.0414	
92.0000	1.1139	
93.0000	1.1139	
94.0000	0.9542	
95.0000	1.1139	
96.0000	1.2304	
97.0000	1.3010	
98.0000	0.9031	
99.0000	1.0414	
100.0000	0.8451	
101.0000	0.9542	
102.0000	0.7782	
103.0000	1.2041	
104.0000	1.1139	
105.0000	1.0414	
106.0000	1.1761	
107.0000	1.0792	
108.0000	0.4771	
109.0000	1.0414	
110.0000	1.1139	
111.0000	0.6990	
112.0000	1.2304	
113.0000	1.0000	
114.0000	0.9542	
115.0000	0.6990	
116.0000	1.1461	
117.0000	1.0414	
118.0000	0.9542	
119.0000	1.1761	
120.0000	0.7782	
121.0000	1.0414	
122.0000	0.4771	
123.0000	1.0414	
124.0000	0.9031	
125.0000	1.1461	
126.0000	1.3424	
127.0000	1.1139	
128.0000	1.1139	
129.0000	0.4771	
130.0000	1.4624	
131.0000	1.1461	
132.0000	1.3802	
133.0000	1.1761	
134.0000	1.2041	
135.0000	0.6021	
136.0000	0.4771	
137.0000	0.9542	
138.0000	1.0792	
139.0000	1.0000	
140.0000	1.0414	
141.0000	0.9542	
142.0000	0.3010	
143.0000	1.0000	
144.0000	1.0414	
145.0000	1.0792	
146.0000	1.2553	
147.0000	1.1761	
148.0000	1.0792	
149.0000	0.9031	
150.0000	0.9031	
151.0000	1.0792	
152.0000	0.6990	
153.0000	0.9031	
154.0000	0.9031	
155.0000	0.9542	
156.0000	0.4771	
157.0000	0.6021	
158.0000	0.9031	
159.0000	1.0000	
160.0000	1.0414	
161.0000	1.1761	
162.0000	1.0000	
163.0000	0.6990	
164.0000	1.0414	
165.0000	0.8451	
166.0000	0.9542	
167.0000	1.0792	
168.0000	0.7782	
169.0000	0.9542	
170.0000	0.3010	
171.0000	0.6990	
172.0000	1.0792	
173.0000	1.1461	
174.0000	0.7782	
175.0000	1.0792	
176.0000	0.7782	
177.0000	0.7782	
178.0000	0.7782	
179.0000	1.0000	
180.0000	1.3222	
181.0000	1.5441	
182.0000	1.7634	
183.0000	1.3802	
184.0000	1.0792	
185.0000	1.0414	
186.0000	1.8451	
187.0000	1.7559	
188.0000	1.7782	
189.0000	1.6721	
190.0000	1.6232	
191.0000	1.4472	
192.0000	1.3802	
193.0000	1.7634	
194.0000	1.6435	
195.0000	1.6335	
196.0000	1.8261	
197.0000	1.6532	
198.0000	1.4472	
199.0000	1.5315	
200.0000	1.7924	
201.0000	1.8195	
202.0000	1.6902	
203.0000	1.7559	
204.0000	1.8195	
205.0000	1.3979	
206.0000	1.3979	
207.0000	1.7559	
208.0000	1.8808	
209.0000	1.8751	
210.0000	1.6990	
211.0000	1.6335	
212.0000	1.3010	
213.0000	1.4624	
214.0000	1.8261	
215.0000	1.9823	
216.0000	1.8451	
217.0000	1.7709	
218.0000	1.7782	
219.0000	1.3424	
220.0000	1.0792	
221.0000	1.7709	
222.0000	1.8692	
223.0000	1.8976	
224.0000	1.8751	
225.0000	1.7709	
226.0000	1.4314	
227.0000	1.3222	
228.0000	1.7559	
229.0000	1.9138	
230.0000	1.7634	
231.0000	1.7924	
232.0000	1.7993	
233.0000	1.3424	
234.0000	1.4771	
235.0000	1.8573	
236.0000	1.8195	
237.0000	1.8865	
238.0000	1.8261	
239.0000	2.0086	
240.0000	1.1461	
241.0000	1.3010	
242.0000	1.9638	
243.0000	1.9294	
244.0000	1.8062	
245.0000	1.7160	
246.0000	1.7924	
247.0000	1.6021	
248.0000	1.4771	
249.0000	1.8325	
250.0000	1.8129	
251.0000	1.8633	
252.0000	1.8451	
253.0000	1.8573	
254.0000	1.3617	
255.0000	1.3979	
256.0000	1.7782	
257.0000	1.8513	
258.0000	1.9031	
259.0000	1.7993	
260.0000	1.7853	
261.0000	1.5185	
262.0000	1.3802	
263.0000	1.5911	
264.0000	0.0000	
265.0000	0.0000	
266.0000	0.0000	
267.0000	0.0000	
268.0000	0.0000	
269.0000	0.0000	
270.0000	0.0000	
271.0000	0.0000	
272.0000	0.0000	
273.0000	2.0086	
274.0000	1.8808	
275.0000	1.4150	
276.0000	1.5911	
