null#
# M e s s w e r t t a b e l l e  der Reihen:
#
# en___Apache_ZooKeeper_BIN=24_log10 [365,365] Werte
#
#
Y	Y	
0.0000	2.1931	
1.0000	2.1399	
2.0000	2.1399	
3.0000	2.0645	
4.0000	2.0334	
5.0000	1.9731	
6.0000	1.9345	
7.0000	1.9031	
8.0000	1.9031	
9.0000	1.8976	
10.0000	1.8388	
11.0000	1.8261	
12.0000	1.7634	
13.0000	1.7853	
14.0000	1.7924	
15.0000	1.7482	
16.0000	1.7404	
17.0000	1.7160	
18.0000	1.6628	
19.0000	1.5911	
20.0000	1.6532	
21.0000	1.6232	
22.0000	1.5911	
23.0000	1.6128	
24.0000	1.6532	
25.0000	1.5682	
26.0000	1.5682	
27.0000	1.6128	
28.0000	1.5798	
29.0000	1.5563	
30.0000	1.5798	
31.0000	1.5798	
32.0000	1.4914	
33.0000	1.5441	
34.0000	1.5185	
35.0000	1.5682	
36.0000	1.0414	
37.0000	0.0000	
38.0000	1.3010	
39.0000	1.5798	
40.0000	1.5185	
41.0000	1.4914	
42.0000	1.5798	
43.0000	1.5441	
44.0000	1.5682	
45.0000	1.5798	
46.0000	1.5315	
47.0000	1.5315	
48.0000	1.6532	
49.0000	1.5441	
50.0000	1.5185	
51.0000	1.5682	
52.0000	1.5563	
53.0000	1.5911	
54.0000	1.6435	
55.0000	1.5563	
56.0000	1.5441	
57.0000	1.6128	
58.0000	1.6021	
59.0000	1.5563	
60.0000	1.5185	
61.0000	1.0792	
62.0000	0.6990	
63.0000	0.0000	
64.0000	0.6021	
65.0000	0.0000	
66.0000	0.0000	
67.0000	0.0000	
68.0000	0.4771	
69.0000	0.3010	
70.0000	0.3010	
71.0000	0.0000	
72.0000	0.0000	
73.0000	0.0000	
74.0000	0.4771	
75.0000	0.0000	
76.0000	0.0000	
77.0000	0.0000	
78.0000	0.3010	
79.0000	0.0000	
80.0000	0.0000	
81.0000	0.0000	
82.0000	0.0000	
83.0000	0.0000	
84.0000	0.6990	
85.0000	0.0000	
86.0000	0.0000	
87.0000	0.0000	
88.0000	0.4771	
89.0000	0.3010	
90.0000	0.0000	
91.0000	0.4771	
92.0000	0.0000	
93.0000	0.0000	
94.0000	0.0000	
95.0000	0.3010	
96.0000	0.0000	
97.0000	0.3010	
98.0000	0.3010	
99.0000	0.3010	
100.0000	0.0000	
101.0000	0.0000	
102.0000	0.3010	
103.0000	0.3010	
104.0000	0.0000	
105.0000	0.4771	
106.0000	0.4771	
107.0000	0.0000	
108.0000	0.3010	
109.0000	0.0000	
110.0000	0.0000	
111.0000	0.0000	
112.0000	0.0000	
113.0000	0.4771	
114.0000	0.4771	
115.0000	0.4771	
116.0000	0.3010	
117.0000	0.7782	
118.0000	0.0000	
119.0000	0.4771	
120.0000	0.3010	
121.0000	0.0000	
122.0000	0.3010	
123.0000	0.0000	
124.0000	0.0000	
125.0000	0.6021	
126.0000	0.3010	
127.0000	0.3010	
128.0000	0.0000	
129.0000	0.0000	
130.0000	0.0000	
131.0000	0.0000	
132.0000	0.0000	
133.0000	0.0000	
134.0000	0.0000	
135.0000	0.3010	
136.0000	0.3010	
137.0000	0.0000	
138.0000	0.0000	
139.0000	0.0000	
140.0000	0.0000	
141.0000	0.0000	
142.0000	0.0000	
143.0000	0.0000	
144.0000	0.6021	
145.0000	0.3010	
146.0000	0.0000	
147.0000	0.6021	
148.0000	0.7782	
149.0000	0.3010	
150.0000	0.0000	
151.0000	0.3010	
152.0000	0.3010	
153.0000	0.6990	
154.0000	0.3010	
155.0000	0.4771	
156.0000	0.0000	
157.0000	0.6021	
158.0000	0.0000	
159.0000	0.0000	
160.0000	0.0000	
161.0000	0.6990	
162.0000	0.6021	
163.0000	0.0000	
164.0000	0.4771	
165.0000	0.7782	
166.0000	0.8451	
167.0000	0.7782	
168.0000	0.7782	
169.0000	0.6990	
170.0000	0.7782	
171.0000	0.6021	
172.0000	0.6021	
173.0000	0.7782	
174.0000	0.7782	
175.0000	0.4771	
176.0000	0.9542	
177.0000	0.0000	
178.0000	0.0000	
179.0000	1.0000	
180.0000	0.6990	
181.0000	0.6021	
182.0000	0.6021	
183.0000	0.6021	
184.0000	0.7782	
185.0000	0.3010	
186.0000	0.4771	
187.0000	1.0414	
188.0000	0.3010	
189.0000	0.7782	
190.0000	0.9031	
191.0000	0.0000	
192.0000	0.3010	
193.0000	0.7782	
194.0000	0.6990	
195.0000	0.9031	
196.0000	0.0000	
197.0000	0.0000	
198.0000	0.6021	
199.0000	0.6021	
200.0000	0.4771	
201.0000	0.6990	
202.0000	1.2041	
203.0000	0.7782	
204.0000	0.9031	
205.0000	0.6021	
206.0000	0.3010	
207.0000	0.4771	
208.0000	0.4771	
209.0000	0.3010	
210.0000	0.0000	
211.0000	0.4771	
212.0000	0.3010	
213.0000	0.0000	
214.0000	0.6021	
215.0000	0.7782	
216.0000	0.8451	
217.0000	0.6021	
218.0000	0.0000	
219.0000	0.0000	
220.0000	0.4771	
221.0000	0.6021	
222.0000	0.6990	
223.0000	0.9542	
224.0000	1.0792	
225.0000	0.6021	
226.0000	0.8451	
227.0000	0.4771	
