null#
# M e s s w e r t t a b e l l e  der Reihen:
#
# 39.CN_BIN=7 / 39.A.L_BIN=7 [52,52] Werte
# unnamed - Apr 29, 2014 12:36:25 PM [0,0] Werte
#
#
Y	Y	Y	
0.0000	3.4019	-5.0000	
1.0000	3.6109	-5.0000	
2.0000	3.4462	-5.0000	
3.0000	3.0990	-5.0000	
4.0000	3.2783	-5.0000	
5.0000	3.2527	-5.0000	
6.0000	2.9645	-5.0000	
7.0000	3.1220	-5.0000	
8.0000	3.3204	-5.0000	
9.0000	3.8344	-5.0000	
10.0000	4.1762	-5.0000	
11.0000	3.6866	-5.0000	
12.0000	3.8534	-5.0000	
13.0000	4.5055	-5.0000	
14.0000	5.4793	-5.0000	
15.0000	4.6579	-5.0000	
16.0000	5.8358	-5.0000	
17.0000	5.7373	-5.0000	
18.0000	5.6494	-5.0000	
19.0000	5.3905	-5.0000	
20.0000	5.2959	-5.0000	
21.0000	5.3014	-5.0000	
22.0000	5.0696	-5.0000	
23.0000	5.0384	-5.0000	
24.0000	5.0182	-5.0000	
25.0000	5.4421	-5.0000	
26.0000	5.0314	-5.0000	
27.0000	5.2747	-5.0000	
28.0000	5.6264	-5.0000	
29.0000	5.1574	-5.0000	
30.0000	5.1468	-5.0000	
31.0000	5.0490	-5.0000	
32.0000	5.4265	-5.0000	
33.0000	5.1638	-5.0000	
34.0000	5.0028	-5.0000	
35.0000	5.0014	-5.0000	
36.0000	4.9337	-5.0000	
37.0000	4.6616	-5.0000	
38.0000	0.0000	-5.0000	
39.0000	4.8747	-5.0000	
40.0000	4.8576	-5.0000	
41.0000	5.0133	-5.0000	
42.0000	4.7258	-5.0000	
43.0000	4.5586	-5.0000	
44.0000	4.6265	-5.0000	
45.0000	4.7337	-5.0000	
46.0000	4.8602	-5.0000	
47.0000	4.7686	-5.0000	
48.0000	4.6873	-5.0000	
49.0000	4.5228	-5.0000	
50.0000	4.0958	-5.0000	
51.0000	4.4610	-5.0000	
