null#
# M e s s w e r t t a b e l l e  der Reihen:
#
# 39.CN_BIN=7 / 39.A.L_BIN=7 [52,52] Werte
# 39.IWL_BIN=7 / 39.B.L_BIN=7 [52,52] Werte
#
#
Y	Y	Y	
0.0000	6.6438	0.0000	
1.0000	6.9248	0.0000	
2.0000	6.7198	0.0000	
3.0000	6.6209	0.0000	
4.0000	6.6167	0.0000	
5.0000	6.7995	0.0000	
6.0000	6.8343	0.0000	
7.0000	6.9047	0.0000	
8.0000	6.9529	0.0000	
9.0000	7.0273	0.0000	
10.0000	7.0573	0.0000	
11.0000	7.1788	0.0000	
12.0000	7.2214	0.0000	
13.0000	7.0767	0.0000	
14.0000	7.2495	0.0000	
15.0000	7.3193	0.0000	
16.0000	7.2809	0.0000	
17.0000	7.3898	0.0000	
18.0000	7.0137	0.0000	
19.0000	6.6485	0.0000	
20.0000	7.1918	0.0000	
21.0000	7.2542	0.0000	
22.0000	0.0000	0.0000	
23.0000	0.0000	0.0000	
24.0000	0.0000	0.0000	
25.0000	7.1640	0.0000	
26.0000	7.2118	0.0000	
27.0000	7.0544	0.0000	
28.0000	7.4605	0.0000	
29.0000	6.6481	0.0000	
30.0000	6.8899	0.0000	
31.0000	7.4927	0.0000	
32.0000	7.1976	0.0000	
33.0000	6.8873	0.0000	
34.0000	7.2638	0.0000	
35.0000	7.1174	0.0000	
36.0000	7.2758	0.0000	
37.0000	6.9852	0.0000	
38.0000	7.1635	0.0000	
39.0000	7.3583	0.0000	
40.0000	7.4657	0.0000	
41.0000	7.3610	0.0000	
42.0000	7.4718	0.0000	
43.0000	8.0077	0.0000	
44.0000	7.7444	0.0000	
45.0000	7.8195	0.0000	
46.0000	7.4461	0.0000	
47.0000	6.8446	0.0000	
48.0000	6.7626	0.0000	
49.0000	6.9797	0.0000	
50.0000	7.0571	0.0000	
51.0000	6.5310	0.0000	
