null#
# M e s s w e r t t a b e l l e  der Reihen:
#
# 35.CN_BIN=7 / 35.A.L_BIN=7 [52,52] Werte
# 35.IWL_BIN=7 / 35.B.L_BIN=7 [52,52] Werte
#
#
Y	Y	Y	
0.0000	0.9023	0.0000	
1.0000	0.9104	0.0000	
2.0000	0.8700	0.0000	
3.0000	0.8967	0.0000	
4.0000	0.8996	0.0000	
5.0000	0.8824	0.0000	
6.0000	0.9130	0.0000	
7.0000	0.8216	0.0000	
8.0000	0.9094	0.0000	
9.0000	0.9313	0.0562	
10.0000	1.0035	0.0723	
11.0000	1.0445	0.0626	
12.0000	0.8169	0.1117	
13.0000	0.9978	0.0239	
14.0000	0.8898	0.0000	
15.0000	0.8457	0.0230	
16.0000	0.9144	0.0000	
17.0000	0.8458	0.0651	
18.0000	1.0171	0.1940	
19.0000	0.8319	0.0843	
20.0000	0.8651	0.0238	
21.0000	0.8648	0.1370	
22.0000	0.7613	0.0000	
23.0000	0.8829	0.0241	
24.0000	0.7307	0.0000	
25.0000	0.9452	0.0249	
26.0000	1.3542	0.0638	
27.0000	1.4326	0.0000	
28.0000	1.5348	0.0247	
29.0000	1.5313	0.0000	
30.0000	1.5326	0.0258	
31.0000	1.4993	0.0771	
32.0000	1.5111	0.1460	
33.0000	1.5075	0.0000	
34.0000	1.5590	0.0381	
35.0000	1.5449	0.0236	
36.0000	1.5313	0.0712	
37.0000	1.4651	0.0548	
38.0000	0.0000	0.0000	
39.0000	1.5899	0.0804	
40.0000	1.5475	0.0443	
41.0000	1.4899	0.2471	
42.0000	1.6224	0.1758	
43.0000	1.5100	0.3243	
44.0000	1.4682	0.4066	
45.0000	1.6277	0.1674	
46.0000	1.5097	0.2343	
47.0000	1.4436	0.2766	
48.0000	1.5030	0.1283	
49.0000	1.5502	0.1239	
50.0000	1.4253	0.2621	
51.0000	1.3698	0.2558	
